Date,Price,Open,High,Low,Vol.,Change %
"Mar 12, 2018",30340,30380,30432,30284,7.37K,-0.22%
"Mar 13, 2018",30387,30350,30409,30222,10.98K,0.15%
"Mar 14, 2018",30413,30399,30545,30364,9.56K,0.09%
"Mar 15, 2018",30314,30456,30474,30288,8.33K,-0.33%
"Mar 16, 2018",30251,30275,30364,30184,10.02K,-0.21%
"Mar 19, 2018",30432,30222,30453,30129,11.62K,0.60%
"Mar 20, 2018",30284,30393,30393,30220,9.13K,-0.49%
"Mar 21, 2018",30464,30310,30539,30284,11.32K,0.59%
"Mar 22, 2018",30506,30522,30615,30472,11.33K,0.14%
"Mar 23, 2018",30901,30550,30947,30550,13.64K,1.29%
"Mar 26, 2018",30889,30840,30915,30771,7.33K,-0.04%
"Mar 27, 2018",30717,30871,30888,30685,9.46K,-0.56%
"Mar 28, 2018",30518,30732,30750,30490,8.56K,-0.65%
"Mar 29, 2018",30426,30482,30578,30403,3.20K,-0.30%
"Apr 02, 2018",30961,30580,31080,30510,1.38K,1.76%
"Apr 03, 2018",30625,30893,30893,30552,0.33K,-1.09%
"Apr 04, 2018",30886,30660,30972,30600,0.07K,0.85%
"Apr 05, 2018",30505,31500,31500,30450,0.06K,-1.23%
"Apr 06, 2018",30605,30571,30650,30413,13.42K,0.33%
"Apr 09, 2018",30675,30600,30693,30556,7.60K,0.23%
"Apr 10, 2018",30798,30613,30819,30585,8.76K,0.40%
"Apr 11, 2018",31244,30820,31422,30820,18.12K,1.45%
"Apr 12, 2018",30897,31176,31217,30857,13.21K,-1.11%
"Apr 13, 2018",31005,30922,31075,30770,9.89K,0.35%
"Apr 16, 2018",31167,31055,31227,31050,8.09K,0.52%
"Apr 17, 2018",31257,31139,31280,31089,9.19K,0.29%
"Apr 18, 2018",31410,31243,31483,31177,9.90K,0.49%
"Apr 19, 2018",31479,31449,31517,31305,8.78K,0.22%
"Apr 20, 2018",31314,31405,31440,31285,6.02K,-0.52%
"Apr 23, 2018",31164,31300,31300,31110,6.67K,-0.48%
"Apr 24, 2018",31262,31160,31280,31068,6.35K,0.31%
"Apr 25, 2018",31301,31298,31324,31215,6.17K,0.12%
"Apr 26, 2018",31158,31251,31276,31112,6.27K,-0.46%
"Apr 27, 2018",31129,31101,31189,31047,6.10K,-0.09%
"Apr 30, 2018",30947,31090,31090,30892,6.38K,-0.58%
"May 01, 2018",30874,30855,30917,30735,0.86K,-0.24%
"May 02, 2018",30926,31020,31350,30860,0.50K,0.17%
"May 03, 2018",31003,30925,31146,30861,0.21K,0.25%
"May 04, 2018",31068,30907,31154,30907,0.13K,0.21%
"May 07, 2018",31247,31125,31300,31125,6.16K,0.58%
"May 08, 2018",31200,31220,31238,31075,8.69K,-0.15%
"May 09, 2018",31303,31219,31364,31156,9.93K,0.33%
"May 10, 2018",31352,31338,31470,31231,10.73K,0.16%
"May 11, 2018",31500,31340,31545,31340,8.84K,0.47%
"May 14, 2018",31496,31450,31544,31380,7.90K,-0.01%
"May 15, 2018",31186,31425,31499,31172,14.51K,-0.98%
"May 16, 2018",31007,31171,31171,30941,10.73K,-0.57%
"May 17, 2018",30986,31001,31001,30852,8.54K,-0.07%
"May 18, 2018",31093,30971,31115,30950,7.38K,0.35%
"May 21, 2018",31114,31035,31139,30925,8.03K,0.07%
"May 22, 2018",31111,31025,31173,31005,7.33K,-0.01%
"May 23, 2018",31186,31121,31369,31103,11.98K,0.24%
"May 24, 2018",31461,31241,31486,31235,11.06K,0.88%
"May 25, 2018",31194,31370,31427,31172,10.05K,-0.85%
"May 28, 2018",30971,31150,31150,30885,6.81K,-0.71%
"May 29, 2018",31184,31020,31320,31020,12.38K,0.69%
"May 30, 2018",31030,31120,31123,30937,9.14K,-0.49%
"May 31, 2018",30882,31050,31120,30837,6.07K,-0.48%
"Jun 01, 2018",30568,30796,30839,30458,2.07K,-1.02%
"Jun 04, 2018",30708,30650,30812,30580,0.34K,0.46%
"Jun 05, 2018",30699,30673,30935,30656,0.08K,-0.03%
"Jun 06, 2018",30755,30876,30913,30720,6.33K,0.18%
"Jun 07, 2018",31055,30820,31075,30789,8.21K,0.98%
"Jun 08, 2018",31076,31011,31196,30950,8.18K,0.07%
"Jun 11, 2018",31035,31070,31083,30920,7.52K,-0.13%
"Jun 12, 2018",30952,31001,31001,30873,6.95K,-0.27%
"Jun 13, 2018",30952,30936,30994,30920,3.91K,0.00%
"Jun 14, 2018",31145,30973,31178,30973,8.59K,0.62%
"Jun 15, 2018",30804,31180,31195,30755,11.17K,-1.09%
"Jun 18, 2018",30773,30799,30836,30721,4.81K,-0.10%
"Jun 19, 2018",30702,30848,30899,30673,7.27K,-0.23%
"Jun 20, 2018",30605,30680,30702,30580,4.93K,-0.32%
"Jun 21, 2018",30451,30575,30575,30367,6.94K,-0.50%
"Jun 22, 2018",30498,30410,30554,30387,6.81K,0.15%
"Jun 25, 2018",30540,30500,30648,30500,4.98K,0.14%
"Jun 26, 2018",30480,30512,30574,30335,6.41K,-0.20%
"Jun 27, 2018",30606,30466,30631,30435,6.00K,0.41%
"Jun 28, 2018",30431,30588,30604,30408,4.32K,-0.57%
"Jun 29, 2018",30363,30404,30449,30288,5.61K,-0.22%
"Jul 02, 2018",30153,30380,30412,30000,2.26K,-0.69%
"Jul 03, 2018",30469,30185,30600,30100,0.19K,1.05%
"Jul 04, 2018",30510,30463,30550,30463,0.04K,0.13%
"Jul 05, 2018",30541,30600,30640,30495,0.02K,0.10%
"Jul 06, 2018",30582,30650,30740,30570,4.84K,0.13%
"Jul 09, 2018",30638,30613,30788,30613,7.26K,0.18%
"Jul 10, 2018",30551,30663,30679,30436,7.52K,-0.28%
"Jul 11, 2018",30344,30502,30545,30325,6.02K,-0.68%
"Jul 12, 2018",30175,30315,30315,30161,7.75K,-0.56%
"Jul 13, 2018",30131,30169,30210,30035,7.17K,-0.15%
"Jul 16, 2018",30103,30151,30248,30074,5.56K,-0.09%
"Jul 17, 2018",29757,30102,30120,29740,9.28K,-1.15%
"Jul 18, 2018",29799,29999,29999,29671,7.92K,0.14%
"Jul 19, 2018",29913,29671,29968,29624,8.40K,0.38%
"Jul 20, 2018",29957,29788,29977,29767,7.07K,0.15%
"Jul 23, 2018",29914,29922,30043,29862,7.10K,-0.14%
"Jul 24, 2018",29912,29860,29978,29780,7.69K,-0.01%
"Jul 25, 2018",29959,29867,30035,29835,7.58K,0.16%
"Jul 26, 2018",29836,29912,29952,29816,5.77K,-0.41%
"Jul 27, 2018",29805,29960,29960,29682,7.53K,-0.10%
"Jul 30, 2018",29755,29726,29782,29700,4.90K,-0.17%
"Jul 31, 2018",29638,29730,29740,29561,6.63K,-0.39%
